Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
344,80,86.6667,0.0170868,0.0313909
345,80,86.6667,0.017063,0.0314949
346,80,86.6667,0.017039,0.031595
347,80,86.6667,0.0170149,0.0316909
348,80,86.6667,0.0169907,0.0317827
349,80,86.6667,0.0169663,0.0318704
350,80,86.6667,0.0169419,0.0319539
351,80,86.6667,0.0169174,0.0320333
352,80,86.6667,0.0168928,0.0321085
353,80,86.6667,0.0168682,0.0321796
354,80,86.6667,0.0168436,0.0322466
355,80,86.6667,0.0168189,0.0323095
356,80,86.6667,0.0167943,0.0323683
357,80,86.6667,0.0167696,0.0324231
358,80,86.6667,0.016745,0.0324739
359,80,86.6667,0.0167204,0.0325208
360,80,86.6667,0.0166958,0.0325638
361,80,86.6667,0.0166714,0.032603
362,80,86.6667,0.0166469,0.0326385
363,80,86.6667,0.0166226,0.0326702
364,80,86.6667,0.0165983,0.0326983
365,80,86.6667,0.0165742,0.0327227
366,80,86.6667,0.0165501,0.0327437
367,80,86.6667,0.0165262,0.0327612
368,80,86.6667,0.0165024,0.0327753
369,80,86.6667,0.0164787,0.0327861
370,80,86.6667,0.0164551,0.0327937
371,80,86.6667,0.0164317,0.032798
372,80,86.6667,0.0164084,0.0327992
373,80,86.6667,0.0163852,0.0327974
374,80,86.6667,0.0163622,0.0327925
375,80,86.6667,0.0163394,0.0327847
376,80,86.6667,0.0163167,0.0327741
377,80,86.6667,0.0162942,0.0327607
378,80,86.6667,0.0162719,0.0327445
379,80,86.6667,0.0162497,0.0327256
380,80,86.6667,0.0162277,0.0327042
381,80,86.6667,0.0162059,0.0326802
382,80,86.6667,0.0161843,0.0326537
383,80,86.6667,0.0161628,0.0326248
384,80,86.6667,0.0161415,0.0325935
385,80,86.6667,0.0161204,0.0325599
386,80,86.6667,0.0160995,0.032524
387,80,86.6667,0.0160787,0.032486
388,80,86.6667,0.0160581,0.0324458
389,80,86.6667,0.0160377,0.0324036
390,80,86.6667,0.0160175,0.0323593
391,80,86.6667,0.0159975,0.0323131
392,80,86.6667,0.0159776,0.0322649
393,80,86.6667,0.0159579,0.0322149
394,80,86.6667,0.0159384,0.0321632
395,80,86.6667,0.015919,0.0321096
396,80,86.6667,0.0158998,0.0320544
397,80,86.6667,0.0158808,0.0319976
398,80,86.6667,0.015862,0.0319391
399,80,86.6667,0.0158433,0.0318792
400,80,86.6667,0.0158247,0.0318178
401,80,86.6667,0.0158064,0.031755
402,80,86.6667,0.0157881,0.0316908
403,80,86.6667,0.0157701,0.0316253
404,80,86.6667,0.0157522,0.0315585
405,80,86.6667,0.0157344,0.0314906
406,80,86.6667,0.0157168,0.0314215
407,80,86.6667,0.0156993,0.0313513
408,80,86.6667,0.015682,0.0312801
409,80,86.6667,0.0156648,0.0312079
410,80,86.6667,0.0156477,0.0311348
411,80,86.6667,0.0156307,0.0310609
412,80,86.6667,0.0156139,0.0309861
413,80,86.6667,0.0155972,0.0309105
414,80,86.6667,0.0155807,0.0308343
415,80,86.6667,0.0155642,0.0307574
416,80,86.6667,0.0155479,0.0306799
417,80,86.6667,0.0155317,0.0306019
418,80,86.6667,0.0155156,0.0305234
419,80,86.6667,0.0154996,0.0304444
420,80,86.6667,0.0154837,0.0303651
421,80,86.6667,0.015468,0.0302855
422,80,86.6667,0.0154523,0.0302056
423,80,86.6667,0.0154367,0.0301255
424,80,86.6667,0.0154212,0.0300453
425,80,86.6667,0.0154059,0.029965
426,80,86.6667,0.0153906,0.0298846
427,80,86.6667,0.0153754,0.0298042
428,80,86.6667,0.0153603,0.0297239
429,80,86.6667,0.0153453,0.0296438
430,80,86.6667,0.0153303,0.0295638
431,80,86.6667,0.0153155,0.029484
432,80,86.6667,0.0153008,0.0294045
433,80,86.6667,0.0152861,0.0293253
434,80,86.6667,0.0152715,0.0292465
435,80,86.6667,0.015257,0.0291681
436,80,86.6667,0.0152426,0.0290902
437,80,86.6667,0.0152282,0.0290129
438,80,86.6667,0.015214,0.028936
439,80,86.6667,0.0151998,0.0288598
440,80,86.6667,0.0151857,0.0287843
441,80,86.6667,0.0151717,0.0287094
442,80,86.6667,0.0151577,0.0286353
443,80,86.6667,0.0151438,0.028562
444,80,86.6667,0.01513,0.0284895
445,80,86.6667,0.0151163,0.0284178
446,80,86.6667,0.0151027,0.028347
447,80,86.6667,0.0150891,0.0282771
448,80,86.6667,0.0150756,0.0282082
449,80,86.6667,0.0150622,0.0281403
450,80,86.6667,0.0150489,0.0280734
451,80,86.6667,0.0150356,0.0280075
452,80,86.6667,0.0150224,0.0279427
453,80,86.6667,0.0150093,0.027879
454,80,86.6667,0.0149963,0.0278163
455,80,86.6667,0.0149833,0.0277548
456,80,86.6667,0.0149705,0.0276945
457,80,86.6667,0.0149577,0.0276353
458,80,86.6667,0.014945,0.0275773
459,80,86.6667,0.0149323,0.0275204
460,80,86.6667,0.0149197,0.0274648
461,80,90,0.0149073,0.0274104
462,80,90,0.0148949,0.0273572
463,80,90,0.0148825,0.0273052
464,80,90,0.0148703,0.0272544
465,80,90,0.0148581,0.0272048
466,80,90,0.014846,0.0271565
467,80,90,0.014834,0.0271094
468,80,90,0.0148221,0.0270635
469,80,90,0.0148102,0.0270188
470,80,90,0.0147984,0.0269753
471,80,90,0.0147867,0.0269331
472,80,90,0.0147751,0.026892
473,80,90,0.0147635,0.0268521
474,80,90,0.0147521,0.0268134
475,80,90,0.0147407,0.0267758
476,80,90,0.0147294,0.0267395
477,80,90,0.0147181,0.0267042
478,80,90,0.0147069,0.0266701
479,80,90,0.0146959,0.0266371
480,80,90,0.0146848,0.0266052
481,80,90,0.0146739,0.0265744
482,80,90,0.014663,0.0265446
483,80,90,0.0146523,0.0265159
484,80,90,0.0146415,0.0264883
485,80,90,0.0146309,0.0264616
486,80,90,0.0146203,0.026436
487,80,90,0.0146098,0.0264113
488,80,90,0.0145994,0.0263876
489,80,90,0.014589,0.0263649
490,80,90,0.0145787,0.0263431
491,80,90,0.0145685,0.0263222
492,80,90,0.0145583,0.0263021
493,80,90,0.0145482,0.026283
494,80,90,0.0145382,0.0262647
495,80,90,0.0145282,0.0262473
496,80,90,0.0145183,0.0262307
497,80,90,0.0145085,0.0262148
498,80,90,0.0144987,0.0261998
499,80,90,0.014489,0.0261855
500,80,90,0.014489,0.0261855

Training Complete!!! - > Elapsed Epochs: 500 Validation Set Accuracy: 80 Validation Set MSE: 0.021676
